Fabric_Type,Weight_gsm,Breathability,Insulation,Tensile_Strength,Moisture_Absorption,Recyclability,Biodegradability,Cost_Rs_per_meter,Terrain,Performance_Score
Rayon,334.8937557952745,2.650913108795474,8.017219002454922,6.371651421518383,5.01249477568232,1.8997742423620259,5.133240027692804,533.8774861515817,Jungle,52.38
Spandex,288.2843113436329,1.5077042112439023,7.497988950401423,9.446974381141752,1.007008892569129,9.929904033620957,6.557333586649449,936.8970827080072,Cold Desert,83.86
Blended Fabric A,173.19332486337342,6.506676052501415,2.2554447458683766,3.629301836816963,4.297256589643226,5.104629857953324,8.066583652537123,339.5269841296216,Humid Coast,48.97
Wool,269.57266203585357,1.4180537144799796,6.467903667112945,2.5347171131856236,1.5854643368675156,9.539969835279999,9.690688297671034,1222.1761547688686,Cold Desert,64.93
Blended Fabric B,111.25507648204284,7.158097238609412,4.961372443656412,2.0983441136030097,5.456592191001432,1.3094966900369656,9.18388361870904,425.23097332002453,Jungle,43.75
Wool,179.7475443486115,5.680612190600297,5.920392514089517,2.6636900997297435,9.726261649881026,7.976195410250031,9.455490474077703,1347.4996581200908,Hot Desert,51.62
Spandex,262.5420718097278,5.687508340232413,9.650548219144142,8.600804638103362,7.725880991236428,5.857229191501718,6.280760490974634,1449.620195533,Jungle,55.92
Blended Fabric A,174.80752182530637,2.4874024515670223,1.1407276606707453,4.810613326357327,4.5539336635801275,3.641393572462343,1.12671840443576,338.32148592876746,Jungle,42.33
Nylon,332.8561729699858,6.453639773029103,9.336707906620141,6.8596932295175,9.234637079894027,8.650347200108193,5.045056067243831,188.3446689110964,Humid Coast,45.88
Rayon,294.02920085235434,6.99330120955747,6.321680089369544,3.4724961369105776,6.0511908326293105,4.446341872784108,9.745408858501934,1280.9250451858215,Cold Desert,46.14
Blended Fabric B,155.51517431966585,3.3046149048519156,1.3639023058458821,7.3959660071720865,1.998017387306482,4.954028516791931,2.8154728210185658,1348.857213726603,Cold Desert,49.64
Wool,260.24818303244274,7.259644777835147,2.2539830896528814,6.439756413500355,5.858569821715058,2.8275510226129246,9.485682135021829,918.3549264083772,Humid Coast,52.66
Acrylic,361.7497084848825,6.619186433204139,3.660703172539426,1.9494483384724355,5.108811134346192,2.9659639349515023,4.748589530833296,1330.756375432359,Jungle,42.31
Blended Fabric B,119.06814550421547,4.206680542692775,9.161455973911787,3.4491902444617177,6.829211084872261,1.0046833929578423,4.173119707007521,491.9328243291421,Hot Desert,36.44
Spandex,250.90861420014141,5.363469742230849,7.2319242960124335,3.424711004186693,3.1971297002299677,2.514619379556375,2.968877976157632,859.2479029251447,Jungle,55.44
Cotton,100.7655190748741,3.2852387254091022,3.221884565547411,7.266738455558095,7.410435309319978,2.332782369580599,9.979664365440478,436.83247069916325,Hot Desert,51.93
Polyester,211.531844261834,1.2974565961049356,4.105641232240147,6.709162102312274,7.126349063992901,5.778411249854227,5.0300484811578245,851.6949791534255,Humid Coast,38.32
Wool,105.87306442646889,4.32689010455264,3.179439444496833,8.228257807419062,5.232705710014346,9.850808268053587,4.589419982000978,1233.8262161681066,Jungle,55.59
Cotton,128.22961406893742,5.573788990666468,7.262315261117937,8.72522924332348,3.933630146816963,2.982169428089935,7.4003457919421605,1223.7765169025874,Jungle,68.85
Rayon,135.79725728159727,7.218439642922194,4.480618116704837,9.43056989863061,2.2376884973139393,4.069597159452327,2.021261691165302,1390.805746503916,Hot Desert,68.23
Blended Fabric B,162.5413208688498,6.939856414307611,8.354999801810942,5.996807304395161,5.766855205204059,3.1766706181040654,1.837924910253093,1350.962849032324,Cold Desert,60.0
Blended Fabric C,140.3862746692414,3.5098421733296368,7.303220469754942,8.619950280144753,8.706918626902832,4.640573144099711,8.989930888848638,1283.8462507128934,Cold Desert,62.02
Spandex,331.30900835646196,7.020894292428058,6.226179592928092,4.350544899055688,9.461200982120006,9.762974530797855,3.555288772637191,492.7775974993705,Hot Desert,60.81
Acrylic,223.49572575559915,9.950117163497387,2.583327274096108,1.1626782725396878,5.445043436650911,2.6094043829919595,4.298219061245739,1129.0472584320153,Humid Coast,44.19
Cotton,178.57945339276455,5.882862074994094,5.57932669154884,6.726993563673059,3.2541563674502574,6.308837628044895,9.810035724475082,755.7761217912099,Jungle,64.51
Blended Fabric C,219.00619696333717,4.150705669252082,6.805930258275083,7.020316536967897,8.777508085647128,3.0716674141739975,5.492740418962771,879.4060888533155,Jungle,41.06
Cotton,93.9532069614188,9.95095459717607,5.229500625918487,3.5160430761708272,8.95144620039633,7.729468965076725,9.577646623215578,529.5879417722449,Hot Desert,75.28
Kevlar,263.1335901346682,9.82298425344441,1.6781163040551539,3.7512731735846367,2.7181992803531143,3.4162737120114115,5.367518868486841,590.3959572863715,Hot Desert,75.98
Acrylic,302.72953493599135,6.1305505308042845,1.8745884439369167,6.535065040292528,9.91048465093837,2.260756137128716,5.664966871273631,1322.1909542955354,Cold Desert,28.49
Spandex,303.04503711848577,7.322356755883983,4.2354203609777965,3.64232659838044,8.284250399306622,8.291020552112627,8.803650867220934,1374.1988012068834,Hot Desert,63.71
Rayon,240.48521429990387,8.184656610700976,6.849675376999887,7.31770189531933,8.16213402492491,9.010048076358096,4.041956411663822,594.5952813279188,Hot Desert,70.02
Rayon,295.0483632944638,3.953374007272587,2.3953745505496977,9.83656799479478,8.55040151862427,8.743641564805078,3.2522622446427762,106.31036492266364,Humid Coast,45.61
Acrylic,251.86637670292976,3.939861176164368,8.450821034088298,3.443886242377677,9.687266473516928,5.115386454523557,8.578207675107834,331.8510492925659,Hot Desert,39.37
Nylon,283.9775684794261,7.534822003503954,9.782668715162812,5.646703134710758,3.9066082564712135,8.156675752918332,3.437490261358668,686.5085600231723,Humid Coast,66.17
Blended Fabric B,88.11223789294641,9.663835732101326,8.523821084609853,7.263767854843282,4.680576499728429,2.559648880637612,2.4079333840397745,412.85220233866323,Hot Desert,70.48
Acrylic,308.67069526401997,6.941776390459581,3.5194050725134858,9.593787525968747,7.641072250261916,5.989186472602606,6.5054867161091705,658.4200905202954,Jungle,55.62
Blended Fabric B,193.91125716840372,7.820614994179322,1.1295413976678028,2.0446537645622462,1.4140237781957747,1.3665592208707311,8.699145256099065,1070.3038961010343,Jungle,57.25
Blended Fabric B,324.2766153612515,8.262216793457014,4.116738889804607,5.182064316456502,6.84796314378487,1.4325303177733035,9.542311584322473,1335.686561582169,Jungle,48.8
Blended Fabric B,280.2751730285556,5.528226327220789,8.7084085706949,6.928242684570505,2.466409843732867,1.6351187266038685,6.78177350385684,88.44140028535162,Jungle,70.68
Blended Fabric C,336.3037742983679,7.094515081446835,6.1603033750474,2.156503179105192,8.300837590624027,8.385755281695598,6.633457030914156,1239.6189234683386,Jungle,33.62
Blended Fabric B,146.13899516055852,3.465650145890204,2.931302077375367,4.395331749051783,1.3506681907921028,6.564284959041036,4.028987933998538,1000.7978213020762,Cold Desert,50.88
Blended Fabric B,298.11637407129274,4.06562112517816,3.346250754123128,5.464337088640655,7.2360132282274545,4.135029440078776,9.429833366701365,106.82017367968706,Cold Desert,41.71
Kevlar,389.6257764864792,5.931746949232786,4.811238480773067,6.116682553749625,6.183321177322761,7.584829797696762,2.1492075648021904,412.52385136335175,Jungle,50.29
Spandex,357.47731430711104,6.0568002292939624,3.1473717381130615,7.1186030191022125,7.65917884402637,3.144125371635815,4.399559975586653,824.7748366193169,Jungle,45.98
Blended Fabric A,182.41587232979577,9.059709056465804,4.502815108607468,1.0975388633226852,9.148437787773373,1.821580091075202,3.873822738313734,1427.589852223667,Jungle,29.32
Wool,263.50012419945153,6.686534909528193,5.036009697804878,3.638896945282581,3.957980908329244,7.052666104693346,7.77137076493912,1197.7896134024804,Cold Desert,46.13
Rayon,109.18595297558092,5.449782742323233,1.5180288401497986,5.94575994091362,4.973774512360393,8.989337644824698,4.158235112968708,219.7471738200285,Jungle,50.36
Blended Fabric A,323.68340214959113,6.56396256984635,1.9101040851051123,1.756961255034977,7.30872218313208,1.6548670572777417,8.396740533613206,1074.0512293769195,Cold Desert,23.41
Kevlar,154.6329831758489,6.231748755041041,8.768246697901034,8.923239717745751,3.130166743138709,9.169243357136917,6.326998649391559,557.8164577154546,Jungle,75.48
Nylon,328.68701309677976,6.025638247622245,4.817998083222786,9.157189465852625,2.000777340755362,5.433625938617732,1.1021828029067717,729.5579308914831,Hot Desert,60.81
Wool,118.02173320578302,2.057736220993944,6.842892719044572,7.71440391338881,6.250318885874437,9.659552936270877,4.373835215713337,464.28252510869805,Jungle,49.1
Cotton,151.55066832622484,9.669002854965502,1.109390272208347,9.728909440368751,1.388439207555185,9.02028802328264,5.749309981776698,1489.7989543729855,Cold Desert,41.78
Wool,257.23337100842264,9.72372282057189,5.707880597531339,6.664587743217362,7.261738200861554,5.090869582909959,6.648022720756571,897.2557522884954,Jungle,56.1
Rayon,94.54284170926653,3.528668706330073,9.553703356689029,9.012374055018247,5.100910775071417,6.581193380213831,3.496430646830194,322.7756815994539,Hot Desert,41.66
Spandex,193.0727129683369,6.252905006657849,1.6996117326848634,9.769553268995498,9.875896700316426,7.2834554261777065,5.824867297097083,498.8150436151752,Jungle,44.01
Nylon,343.2119177354141,9.548199219627316,7.531475575495239,6.520736763422109,4.76418732661557,9.39455635018612,8.794575005503674,115.56707165397464,Humid Coast,67.13
Spandex,200.46827740097586,8.294979977036496,9.8854851638345,2.3537520199317536,6.347176438169216,4.428017709679194,9.72922958033143,1271.0724385467777,Cold Desert,54.97
