Fabric_Type,Recyclability,Biodegradability,Water_Usage,Carbon_Emissions,Toxicity,Microplastic_Shedding,Durability,Region_Suitability
Nylon,7.251198194716007,1.6591769739339166,1454.126669613489,12.838951334068696,5.696168328038676,8.785651661155137,8.199508782110495,Desert
Nylon,7.623715619397204,0.7412260633148763,4552.053956245985,11.35495500516666,5.950722494942815,6.870238043845227,9.143675157046257,High Altitude
Bamboo Fiber,7.212781303898296,8.011012175143794,4784.081968603616,3.7143499221605603,2.338639553852564,0.0,7.214074615839941,Jungle
Kevlar,4.624922062729905,0.0,4322.029712540922,21.39402688391914,8.769082736716973,2.949565072829115,10.0,War Zones
Wool,7.8108865144721715,7.086195433731312,11274.876762438305,6.520992966295923,3.9711517446761,0.9818264370936788,6.404291573534715,High Altitude
Cotton,8.115781816492737,8.3392735398183,16012.685311695126,9.780339264906377,3.8811740814832003,0.0,4.986086944150311,Hot Desert
Wool,8.914461114179673,8.37685983225973,8424.011770900222,9.968177356595108,2.433225915608473,0.5951056081068348,7.452727735707027,Cold Desert
Bamboo Fiber,9.533207566861249,7.522839591916264,2235.7826701707163,4.699750014830457,2.3558988030212635,0.0,5.616051523126725,Coastal
Wool,6.15294079493218,7.021626733657767,5400.989621111449,9.868855607760366,3.453042621894756,0.5240524240649717,6.732100836619416,Cold Desert
Wool,7.033398608229236,8.166959660760565,8222.950670446664,6.13572699122358,3.6707661187254828,0.319404208581171,8.148631609395743,Cold Desert
Polyester,4.572502294950991,0.5953074113271242,917.7658853511216,19.20119372428655,6.137947203707286,8.964139331591742,7.041693727582574,Hot Desert
Bamboo Fiber,9.991604653834635,7.730670291462564,4357.889578477785,2.2072220887312857,1.9006993505053147,0.0,6.328767109192464,Coastal
Bamboo Fiber,8.891875092870137,9.996319061455488,3579.5881430291033,5.386424649361949,2.3244051854152543,0.0,6.176159111948812,Coastal
Polyester,5.167907540069176,1.1777323167679723,872.1343980996605,13.321791386976368,6.6390817514213705,7.998452332574887,7.507862154460529,High Altitude
Nylon,7.093980110280705,2.368201251105936,3967.37529029587,13.742614251420214,6.94447756182099,5.860648174861364,8.853842860754407,Desert
Nylon,7.92264372363794,2.1139818584567633,3911.8884566790653,19.5805198209472,7.130652997166697,5.890671013022391,9.653328099902048,Desert
Bamboo Fiber,8.418675772094906,8.56100071216148,2740.3517693156527,2.9255759175494127,3.43217071587632,0.0,6.344447481277387,Tropical
Polyester,5.049614120785762,1.8778605079320914,1182.6159501629206,23.24373357666515,8.101942208611213,7.792631715708934,7.850147154150707,Hot Desert
Cotton,9.992637197554737,8.606711425540082,14007.458570938375,8.320722897292805,2.6825997996058035,0.0,4.293789109453876,Jungle
Cotton,9.240996575404138,9.943590835264864,19853.122477436496,9.919027591656866,2.805882878537885,0.0,5.461000161222026,Coastal
Cotton,9.067337937179337,8.903936036776305,12883.867361878025,5.134613198307631,2.615518404750474,0.0,6.563612456827925,Hot Desert
Polyester,5.156464887355647,0.011952203842552356,1981.1937004296635,15.301237924309287,8.106972753101894,8.80701387567532,8.480494800358695,High Altitude
Polyester,5.165938447969331,0.3022506044563402,2659.9957840580837,18.415647358532127,6.782877389578319,8.249556971341402,8.039651372860053,Cold Desert
Nylon,5.981055796334408,0.1392327614845832,887.0446736463055,13.565323793257058,7.908121424350698,7.568235961767958,9.348346389196225,High Altitude
Cotton,9.403411974133768,8.655192097682175,15607.11829795724,9.336630369967551,2.083340176149503,0.0,6.276824924229617,Coastal
Polyester,5.037567397031064,1.7384897489068871,1820.2453473099595,21.840120454727348,8.24387898856689,6.126401500702103,8.60703088322381,High Altitude
Polyester,6.665688548241446,1.9632917066209286,2108.960788178847,20.359237317876016,8.354886109104143,9.880598983405058,9.199503830826137,Hot Desert
Bamboo Fiber,9.716134164124188,8.570721238153043,1730.8128244429167,3.720797531065619,3.5754534423597226,0.0,7.427867455325472,Jungle
Nylon,7.648328668650839,0.40886440720278205,2876.356354691574,11.422537717752947,5.146698508761558,7.697773903644144,9.219403826219763,High Altitude
Kevlar,3.1159816065190284,0.0,4853.953888794427,24.952004956204195,8.406457498272388,3.4929923766114714,10.0,War Zones
Bamboo Fiber,8.641180056086139,8.107419305584763,2472.6846464720757,5.243587085919245,2.925141938885001,0.0,7.502067162665973,Tropical
Nylon,5.024416322402347,0.26771555429515004,3229.94985082036,12.231692001475352,7.184682285340159,8.772717910419257,9.339338335695523,High Altitude
Kevlar,4.649067736395005,0.0,3975.7426007177573,20.8418303909275,7.263517895653545,2.332108419329952,10.0,War Zones
Cotton,7.884297103320017,8.432758367907057,13479.488320117136,9.504756655581701,3.8502268606075005,0.0,5.715950619223637,Jungle
Polyester,6.29064385924884,1.041495099599644,2495.1924982291994,14.239501623073414,6.482743482338943,7.21383838478136,7.9749395788818065,Cold Desert
Wool,8.232675520111517,6.990393719420473,11673.04191496436,6.885313759283904,2.2349693983900965,0.7328204936413412,6.4511020308548925,High Altitude
Wool,6.3844479556650935,8.417569762454953,10951.217382784766,6.714748072441097,1.1811386148116951,0.7388153088569742,8.590603550536205,Cold Desert
Nylon,7.753603068501234,0.4858779307492219,1171.213795464886,19.081202625437186,5.716092728507597,8.460010886042113,9.163217570772474,Desert
Cotton,7.84210387559923,9.126178880745028,12228.147120782396,9.151448136772533,5.880604225955296,0.0,6.640637053329339,Jungle
Kevlar,3.871866026248611,0.0,5097.09520687512,16.480278777342264,8.232744263032549,4.652999523472992,10.0,War Zones
Nylon,5.674606384627348,2.760875308916299,1392.6293099398322,11.475557460847451,7.736373558722848,5.010815318563182,8.755716057406321,Desert
Nylon,5.5716359219059415,0.46680693533896667,4466.510735220931,11.92788084944867,5.910010001341114,8.011091617217943,9.06658727332602,High Altitude
Cotton,9.241677644951265,9.907670036397395,9535.090214600476,9.006006104360166,5.640648548855566,0.0,5.589823061759976,Hot Desert
Bamboo Fiber,8.030211330132511,8.162327291671977,3006.7364773343843,4.834928406134262,2.5767490648628244,0.0,7.111513459023582,Coastal
Kevlar,4.411350119274038,0.0,5402.176991966493,15.413172301624632,7.602202078135158,3.515947590761324,10.0,War Zones
Kevlar,4.983158899830114,0.0,2402.641610919948,16.73737620741697,8.847797275728086,2.523502339622631,10.0,War Zones
Nylon,5.3432765262181565,2.3511190610940833,4159.744048786304,15.917985870013162,5.070282746525294,6.994137186294355,8.094272053317516,High Altitude
Kevlar,4.5601895846788985,0.0,2126.283747612216,18.097143662034412,9.347745210034862,2.234747317590413,10.0,Extreme Terrain
Cotton,7.202070171786236,9.352331268212396,14574.290297344673,5.151643357726636,3.7116259960107176,0.0,4.931641962230909,Coastal
Nylon,5.004682868867132,1.1978019569229112,1689.5600283839485,12.492717190950916,7.246144122564257,8.542387682995326,9.523312959652962,Desert
Kevlar,3.706244903849124,0.0,4829.032170340678,16.35618132158266,9.167487804470655,4.215936862535536,10.0,War Zones
Bamboo Fiber,8.625363145794283,8.261693699217249,2754.233521602527,3.7168084996520134,1.4087979190688236,0.0,6.148240982012768,Jungle
Nylon,7.978363995220769,1.4232649411114937,2770.822238745958,14.202573983740406,7.985484910867537,6.376737938465357,8.946644797274,Desert
Cotton,8.059728690340513,8.280403176985113,16796.17811891531,5.525596715698786,3.620858278412243,0.0,4.045985788657346,Hot Desert
Kevlar,3.281388318334736,0.0,5004.57048580752,23.345269180149707,7.9358285871624314,4.43531804307904,10.0,War Zones
Bamboo Fiber,9.148085949979286,7.414869681304388,4709.187431567745,5.356610531935214,2.325306757975109,0.0,6.460964172198272,Coastal
Cotton,7.286787944987699,8.944465498413011,13711.042957530839,6.144997082665261,4.184429824106086,0.0,6.9359137537362745,Coastal
Wool,6.394223989527877,8.725447904165406,9812.082789654602,11.232116177832568,1.879134607346991,0.0946151779784351,6.667660020660919,High Altitude
Wool,7.365766098149243,8.141383194576452,7978.072344629109,6.44827168256367,1.586109075939273,0.004093301852576281,6.753277861482886,Cold Desert
Polyester,5.928944059586362,0.4965190459025919,544.9601610645802,14.833513350843024,7.533206099641012,8.33323865354275,8.666726006142778,Hot Desert
Polyester,5.700040084038774,0.26763487362304983,2302.546585428389,13.934605396893776,6.777649820614074,9.694731443494181,9.73603637131593,Cold Desert
Nylon,5.860909780492182,1.8672249015163478,1228.4322260292454,13.252942004544511,8.702455034712601,8.05812637985502,9.869751003560904,High Altitude
Bamboo Fiber,7.199754845645347,9.798213708269996,1926.4681945871475,3.3244788161915113,1.6823284723333345,0.0,6.845943887917331,Coastal
Kevlar,4.675875877123729,0.0,4827.296838028174,17.02380608239924,8.833242210597419,4.801483318417132,10.0,Extreme Terrain
Cotton,8.178461043684297,9.594404368473246,9279.096014550394,8.907218678951292,4.7944639159532985,0.0,6.392295565947882,Hot Desert
Kevlar,3.1012411614784288,0.0,2639.7255406479353,16.749767533858837,9.616952701592252,2.4481725595040533,10.0,Extreme Terrain
Nylon,7.791478452932922,2.622262791529769,891.8884365670526,15.183577543733518,5.20222935994348,7.418309565553312,8.882280185956919,High Altitude
Wool,7.181417443794077,6.524730441035994,10733.93127622189,8.108154955949287,1.6309083741299846,0.9027346625517662,7.157540628733752,High Altitude
Cotton,9.245579473673764,8.013034090773765,12421.125579963187,7.7109857336614835,4.37183908855976,0.0,5.876490019155556,Hot Desert
Bamboo Fiber,8.112396905824927,9.15732756671481,2576.615003370421,4.83932853382079,3.3732546397217544,0.0,5.850692477291308,Jungle
Cotton,7.703063312817467,9.481814905345079,13264.77848081693,6.8127573942349855,5.00296738147376,0.0,4.770743374400558,Coastal
Bamboo Fiber,8.366507037784453,9.806817480207378,1858.686496569399,5.2242489811687,1.0406675421087854,0.0,5.342079769856106,Tropical
Wool,7.405443657221328,6.346622951340947,7169.30047700011,7.521790338096249,3.753263276079532,0.41404035661537886,6.233371602813088,Cold Desert
Polyester,6.428803040585338,1.320880864301918,1780.924771074401,24.48033055318679,7.831558596608441,9.929557118123672,7.267181883545584,Hot Desert
Cotton,7.616449599046363,9.050170971696549,16129.649730179422,6.321127574581091,4.482636085123726,0.0,6.106719221290411,Coastal
