Fabric_Type,Region,Cost_per_Unit(INR),Transport_Time(days),Distance_to_Base(km),Demand_Units,Available_Stock,Supplier_Rating(1-5),Risk_Factor(1-10),Supply_Priority
Kevlar,Hot Desert,1317.2,10.48,726.2,8816,11804,2.6,7.5,MEDIUM
Nylon,High Altitude,863.47,44.68,1402.7,14854,16190,4.5,6.1,MEDIUM
Bamboo Fibre,Coastal,263.06,7.11,277.5,8711,9040,2.0,3.4,LOW
Nylon,General Use,859.37,9.56,608.5,5456,5088,3.5,3.8,MEDIUM
Nylon,Jungle,677.14,18.57,1076.7,11018,8688,3.8,7.3,HIGH
Bamboo Fibre,Cold Desert,415.66,19.11,960.9,14512,15437,2.2,8.7,MEDIUM
Cotton,General Use,343.73,8.02,289.5,6211,6051,1.7,8.7,MEDIUM
Polyester,Cold Desert,364.09,24.09,1732.2,11847,14302,1.2,5.9,MEDIUM
Wool,Cold Desert,477.88,19.17,927.0,5240,5453,2.0,9.3,MEDIUM
Nylon,Jungle,727.58,16.95,618.9,6832,7521,1.7,6.1,MEDIUM
Cotton,Coastal,297.47,13.65,549.4,6824,5780,3.4,5.1,MEDIUM
Cotton,General Use,371.53,9.56,398.4,4306,6855,1.1,1.5,LOW
Nylon,General Use,887.11,8.15,545.2,9100,13170,2.8,2.4,LOW
Wool,Jungle,771.09,20.86,661.1,15005,19824,4.1,5.5,MEDIUM
Kevlar,Hot Desert,3288.4,11.23,679.2,10844,10226,4.8,2.2,MEDIUM
Kevlar,General Use,2897.09,7.11,516.0,9965,15700,2.6,7.1,LOW
Wool,General Use,600.24,6.77,370.0,5049,3782,5.0,3.4,MEDIUM
Bamboo Fibre,Cold Desert,559.76,12.72,688.0,7993,10134,2.2,3.8,MEDIUM
Wool,High Altitude,635.14,29.26,1073.1,6368,6353,4.8,6.2,MEDIUM
Bamboo Fibre,Jungle,330.51,17.57,887.8,17232,24585,3.4,5.1,MEDIUM
Wool,Cold Desert,902.13,27.31,1021.3,14775,7389,2.6,1.5,HIGH
Bamboo Fibre,Jungle,399.39,22.73,1351.3,13329,18223,4.8,4.0,MEDIUM
Wool,Coastal,900.04,10.68,479.8,4801,4279,3.5,3.7,MEDIUM
Wool,Coastal,414.65,9.82,638.5,13314,16754,2.2,8.0,LOW
Cotton,High Altitude,436.83,29.85,1988.0,12385,6721,4.6,4.0,HIGH
Wool,General Use,455.76,4.01,244.0,9395,10785,2.6,5.2,LOW
Bamboo Fibre,Coastal,356.81,5.94,204.1,13055,20680,3.1,6.9,LOW
Nylon,Cold Desert,564.56,23.82,1358.1,6237,4682,4.9,2.3,HIGH
Wool,Hot Desert,408.7,22.43,795.8,12127,7391,1.5,8.6,HIGH
Cotton,General Use,588.4,8.15,496.8,4961,4121,4.2,4.8,MEDIUM
Cotton,General Use,258.82,5.02,342.1,6522,8061,4.0,2.6,LOW
Cotton,Hot Desert,362.44,11.97,488.5,8229,8523,1.2,2.0,MEDIUM
Cotton,Cold Desert,526.22,20.2,994.2,10839,15912,1.6,8.3,MEDIUM
Wool,Cold Desert,667.48,28.53,1695.5,14047,10663,3.8,1.5,HIGH
Wool,Coastal,419.46,5.68,171.6,7999,5024,3.0,8.5,MEDIUM
Nylon,High Altitude,568.92,21.61,850.2,17713,11210,3.6,2.1,HIGH
Kevlar,General Use,2811.88,4.83,273.2,9197,11659,1.3,3.7,LOW
Cotton,Cold Desert,291.72,13.48,556.4,11514,18193,4.6,7.1,MEDIUM
Bamboo Fibre,High Altitude,641.55,38.35,2774.7,7079,9650,3.2,3.6,MEDIUM
Kevlar,Coastal,3256.07,13.67,912.4,6164,3794,1.9,2.7,MEDIUM
Polyester,High Altitude,278.63,44.66,1715.7,17646,8087,4.7,1.4,HIGH
Polyester,Coastal,403.58,5.54,314.1,8095,4706,2.6,7.7,MEDIUM
Wool,Coastal,680.25,14.86,1143.7,7405,7929,4.8,1.7,MEDIUM
Bamboo Fibre,Jungle,431.17,39.95,2012.0,13955,11195,4.9,6.3,HIGH
Wool,Hot Desert,978.03,16.17,1122.8,5384,5441,3.7,5.7,MEDIUM
Nylon,Coastal,642.6,8.23,488.5,11133,8233,3.6,7.8,MEDIUM
Bamboo Fibre,High Altitude,532.71,39.31,1681.8,11066,11550,2.9,1.3,MEDIUM
Nylon,Hot Desert,456.21,11.1,468.7,5611,6264,2.9,7.5,MEDIUM
Polyester,Cold Desert,411.61,14.33,605.1,5778,5691,4.5,4.4,MEDIUM
Cotton,Jungle,263.38,36.96,2713.9,11900,17376,3.1,3.1,MEDIUM
Cotton,Hot Desert,539.13,14.96,1111.2,10607,8562,3.6,4.4,MEDIUM
Nylon,Jungle,787.68,20.37,996.1,7665,9321,3.8,6.1,MEDIUM
Nylon,High Altitude,399.33,36.12,2830.7,16114,18073,2.8,1.6,MEDIUM
Polyester,Coastal,396.1,9.62,550.5,7367,11328,4.7,5.2,LOW
Kevlar,Cold Desert,1955.53,26.39,1257.8,8996,5899,4.9,4.6,HIGH
Nylon,General Use,751.09,4.48,223.9,4733,4588,2.6,2.7,MEDIUM
Kevlar,General Use,3222.89,8.91,342.3,3934,4701,1.5,4.3,LOW
Bamboo Fibre,Cold Desert,268.73,13.84,917.4,14208,16767,3.5,8.7,MEDIUM
Polyester,Jungle,373.71,25.55,1785.0,9602,4404,4.4,7.2,HIGH
Kevlar,High Altitude,3012.56,31.89,1923.4,8082,7005,4.3,5.5,MEDIUM
Cotton,Jungle,423.24,36.89,2526.8,11041,5447,5.0,8.7,HIGH
Bamboo Fibre,Hot Desert,252.59,14.57,1040.0,12421,18966,2.5,2.3,MEDIUM
Kevlar,Coastal,3268.34,12.07,625.6,10042,4693,4.4,8.4,MEDIUM
Wool,Jungle,759.98,39.7,1506.8,13032,5378,3.5,2.4,HIGH
Kevlar,Coastal,3020.54,12.65,381.8,7718,8745,2.2,8.8,MEDIUM
Cotton,Cold Desert,232.59,25.0,1531.6,12861,19404,1.1,6.4,MEDIUM
Nylon,Jungle,651.53,39.81,2832.7,14038,15931,2.5,8.4,MEDIUM
Wool,High Altitude,681.24,27.55,1126.7,15303,8469,1.8,3.9,HIGH
Polyester,Cold Desert,269.63,14.38,1064.9,6856,10341,1.5,3.3,MEDIUM
Nylon,Cold Desert,883.99,19.62,1327.3,11618,11798,2.4,2.9,MEDIUM
Polyester,Coastal,254.04,14.88,1086.7,10099,14455,1.5,10.0,MEDIUM
Polyester,Coastal,438.67,12.1,412.3,12487,9048,2.2,2.5,MEDIUM
Wool,Jungle,731.95,39.67,2381.5,11326,13625,3.9,3.6,MEDIUM
Cotton,Jungle,201.49,22.27,1533.2,19485,20492,4.5,6.4,MEDIUM
Wool,Cold Desert,522.14,17.65,871.5,11471,15524,3.7,1.7,MEDIUM
Bamboo Fibre,High Altitude,637.57,42.58,2129.0,10629,15942,3.4,7.8,MEDIUM
Polyester,Coastal,249.69,10.08,626.3,7316,4471,4.5,3.3,MEDIUM
Nylon,High Altitude,740.87,31.5,1803.5,11279,5954,2.2,6.2,HIGH
Kevlar,General Use,1625.98,5.72,256.9,9062,10706,3.3,2.7,LOW
Bamboo Fibre,General Use,250.1,3.49,259.6,8948,6688,2.5,3.5,MEDIUM
Wool,Jungle,1143.79,28.73,1850.2,18450,16302,4.2,5.2,MEDIUM
Kevlar,Hot Desert,3064.03,22.96,1620.0,7047,2917,3.7,6.0,HIGH
